sample_id,signature,cluster
TCGA-F5-6811-01,Primary,G3
TCGA-F5-6812-01,Primary,G4
TCGA-F5-6813-01,Primary,G4
TCGA-F5-6814-01,Primary,G1
TCGA-F5-6863-01,Primary,G2
TCGA-F5-6864-01,Primary,G2
TCGA-G4-6294-01,Primary,G4
TCGA-G4-6295-01,Primary,G2
TCGA-G4-6297-01,Primary,G4
TCGA-G4-6302-01,Primary,G1
TCGA-G4-6303-01,Primary,G2
TCGA-G4-6304-01,Primary,G1
TCGA-G4-6306-01,Primary,G2
TCGA-G4-6307-01,Primary,G2
TCGA-G4-6311-01,Primary,G3
TCGA-G4-6315-01,Primary,G5
TCGA-G4-6317-01,Primary,G2
TCGA-G4-6626-01,Primary,G3
TCGA-G4-6627-01,Primary,G1
TCGA-NH-A50T-01,Primary,G4
TCGA-NH-A50V-01,Primary,G4
TCGA-NH-A6GC-01,Primary,G3
TCGA-NH-A8F7-01,Primary,G5
TCGA-QG-A5YW-01,Primary,G1
TCGA-QG-A5Z1-01,Primary,G2
TCGA-QL-A97D-01,Primary,G4
TCGA-RU-A8FL-01,Primary,G2
TCGA-SS-A7HO-01,Primary,G4
TCGA-T9-A92H-01,Primary,G4
TCGA-WS-AB45-01,Primary,G1
